Time,PI
1981.166667,-0.767855373
1981.25,0.319990941
1981.333333,0.654461543
1981.416667,0.719578976
1981.5,0.234601643
1981.583333,-0.953888894
1981.666667,1.203074909
1981.75,0.70706616
1981.833333,-0.441865944
1981.916667,-1.02287117
1982,-1.467788655
1982.083333,-0.918357969
1982.166667,-1.870305282
1982.25,-1.20791544
1982.333333,-0.51177162
1982.416667,0.165508757
1982.5,0.880448931
1982.583333,0.699741138
1982.666667,1.304606793
1982.75,1.986483863
1982.833333,2.004884847
1982.916667,1.53140055
1983,0.761770874
1983.083333,0.725873229
1983.166667,-0.022619548
1983.25,0.733558037
1983.333333,-0.228866582
1983.416667,0.367905226
1983.5,-0.317057141
1983.583333,1.357316236
1983.666667,-0.138048946
1983.75,-0.116152317
1983.833333,-0.948495469
1983.916667,0.621813009
1984,0.376624623
1984.083333,0.626851232
1984.166667,-2.342779296
1984.25,-2.330062437
1984.333333,-2.972759452
1984.416667,-2.611205276
1984.5,-2.478292108
1984.583333,-0.195445803
1984.666667,0.804042268
1984.75,0.660497264
1984.833333,0.500174756
1984.916667,0.371826119
1985,-0.028957711
1985.083333,0.333265225
1985.166667,0.264046032
1985.25,0.538407845
1985.333333,-0.039682699
1985.416667,-0.002521811
1985.5,-0.258139064
1985.583333,-0.38667685
1985.666667,-1.021945893
1985.75,-0.657047842
1985.833333,-0.210815423
1985.916667,-0.531972931
1986,-0.624861151
1986.083333,-1.387259973
1986.166667,-0.75964094
1986.25,-0.519891577
1986.333333,0.176087148
1986.416667,0.261533446
1986.5,0.505598129
1986.583333,-2.013701492
1986.666667,-3.111200828
1986.75,-2.049361364
1986.833333,-0.362471467
1986.916667,-0.34613895
1987,-0.152626819
1987.083333,-0.547920148
1987.166667,-0.656587472
1987.25,-0.222324698
1987.333333,-0.091965836
1987.416667,0.209796557
1987.5,0.217972836
1987.583333,0.11174051
1987.666667,-0.144434676
1987.75,-1.021696416
1987.833333,0.025957688
1987.916667,-0.434590586
1988,0.327147616
1988.083333,-0.11148312
1988.166667,1.068396882
1988.25,1.91474837
1988.333333,2.068929942
1988.416667,1.910506817
1988.5,0.992781239
1988.583333,1.399734459
1988.666667,0.664134328
1988.75,-0.237730615
1988.833333,-0.570090844
1988.916667,-0.081077912
1989,0.513702501
1989.083333,0.760742244
1989.166667,0.48968845
1989.25,-0.152069506
1989.333333,0.381725796
1989.416667,0.459805561
1989.5,1.49929134
1989.583333,1.573921905
1989.666667,2.315631631
1989.75,1.220944194
1989.833333,0.305051523
1989.916667,0.250046524
1990,-0.06716628
1990.083333,0.125885591
1990.166667,1.144791808
1990.25,1.192747883
1990.333333,1.335143088
1990.416667,0.452631421
1990.5,0.675126531
1990.583333,0.212374562
1990.666667,-0.198213575
1990.75,0.387412847
1990.833333,-0.032418313
1990.916667,-0.152791715
1991,-0.446826909
1991.083333,-0.620592639
1991.166667,-0.577246149
1991.25,-1.539968436
1991.333333,-0.585217354
1991.416667,-0.448076572
1991.5,0.549526392
1991.583333,0.22227083
1991.666667,-0.22772959
1991.75,-0.23281419
1991.833333,-0.784056667
1991.916667,-0.605456356
1992,-0.717344714
1992.083333,-0.393386704
1992.166667,-0.983211145
1992.25,0.540996388
1992.333333,0.419346234
1992.416667,0.850490654
1992.5,0.098972148
1992.583333,-0.053717333
1992.666667,-0.41273331
1992.75,-0.538812936
1992.833333,-0.806123337
1992.916667,-0.216082911
1993,0.419598644
1993.083333,0.862761279
1993.166667,0.551667194
1993.25,-1.766165724
1993.333333,-2.494455754
1993.416667,-2.41516833
1993.5,-1.290459779
1993.583333,-0.61397581
1993.666667,-1.717988009
1993.75,-1.347607508
1993.833333,-1.233193794
1993.916667,-0.36931098
1994,-0.292565631
1994.083333,0.197494401
1994.166667,-0.156476057
1994.25,0.364553792
1994.333333,0.108358806
1994.416667,0.213390793
1994.5,0.141870168
1994.583333,0.665541602
1994.666667,0.170767494
1994.75,0.208535897
1994.833333,1.242124291
1994.916667,0.854536401
1995,0.579907249
1995.083333,-0.003418635
1995.166667,0.957789595
1995.25,0.625560127
1995.333333,0.561911248
1995.416667,-0.038160598
1995.5,0.580559644
1995.583333,0.066169559
1995.666667,0.413325745
1995.75,0.847783599
1995.833333,0.154418983
1995.916667,-0.283448037
1996,-0.892636668
1996.083333,-0.772156444
1996.166667,0.203857901
1996.25,-0.37108895
1996.333333,-0.643405827
1996.416667,-1.20029634
1996.5,-0.366278717
1996.583333,0.90169974
1996.666667,0.370597216
1996.75,-1.384099324
1996.833333,-0.744855553
1996.916667,-1.214549869
1997,-1.009941694
1997.083333,-3.348650476
1997.166667,-1.965683657
1997.25,0.771901728
1997.333333,0.707677474
1997.416667,1.118625332
1997.5,-0.523927292
1997.583333,0.170780008
1997.666667,-0.665674173
1997.75,1.115239069
1997.833333,2.05461459
1997.916667,2.111550854
1998,2.439048128
1998.083333,2.134523719
1998.166667,1.911135831
1998.25,0.588423031
1998.333333,0.159324592
1998.416667,0.335337608
1998.5,0.797920127
1998.583333,1.413075328
1998.666667,0.076341473
1998.75,-0.848908501
1998.833333,-1.314314774
1998.916667,-1.458510875
1999,-1.305794331
1999.083333,-1.69547908
1999.166667,0.77389939
1999.25,0.691886156
1999.333333,0.362613727
1999.416667,-1.04806299
1999.5,-2.320383241
1999.583333,-1.386742104
1999.666667,-0.058259068
1999.75,-0.274889717
1999.833333,0.763708059
1999.916667,0.748857267
2000,0.67519919
2000.083333,-0.256848296
2000.166667,-1.745936253
2000.25,-2.790540971
2000.333333,-2.718923247
2000.416667,-2.466471057
2000.5,-1.667009733
2000.583333,-1.274176296
2000.666667,-1.120998843
2000.75,-1.628880465
2000.833333,-0.685779767
2000.916667,-0.258681332
2001,1.240257525
2001.083333,1.252012755
2001.166667,1.459130674
2001.25,-0.131427598
2001.333333,-0.454002665
2001.416667,-0.876486509
2001.5,-1.205307041
2001.583333,0.005907907
2001.666667,0.291506855
2001.75,-0.521057285
2001.833333,-0.182363073
2001.916667,-0.522228715
2002,0.018750041
2002.083333,-0.217597405
2002.166667,0.629461576
2002.25,0.272094491
2002.333333,0.366767556
2002.416667,-0.100624363
2002.5,-0.346020771
2002.583333,-2.291841253
2002.666667,-0.388772945
2002.75,0.740411186
2002.833333,0.746024045
2002.916667,0.963821668
2003,0.785992011
2003.083333,0.629691141
2003.166667,-0.49813762
2003.25,-1.280774382
2003.333333,-0.07772946
2003.416667,0.671878513
2003.5,1.723293749
2003.583333,1.383660632
2003.666667,-1.220676488
2003.75,-0.689915567
2003.833333,-0.747697416
2003.916667,-1.069790171
2004,-0.973690769
2004.083333,-1.070407039
2004.166667,-0.556692485
2004.25,0.414829392
2004.333333,0.120925657
2004.416667,0.28955364
2004.5,-1.138456507
2004.583333,-1.384855492
2004.666667,-0.997514186
2004.75,-0.557495489
2004.833333,-0.802916251
2004.916667,-0.937124091
2005,-0.460251479
2005.083333,-0.132165806
2005.166667,0.210837005
2005.25,-0.485832438
2005.333333,-0.122057106
2005.416667,-0.028351838
2005.5,0.539991462
2005.583333,-0.160020935
2005.666667,0.054213207
2005.75,-0.837688309
2005.833333,-1.258115053
2005.916667,-1.975835619
2006,-1.803770683
2006.083333,-1.936096417
2006.166667,-0.40896116
2006.25,0.44231014
2006.333333,0.649459061
2006.416667,0.510321692
2006.5,-0.006327745
2006.583333,-0.566996817
2006.666667,0.220311826
2006.75,-0.132217331
2006.833333,0.449816628
2006.916667,1.126413571
2007,1.31380722
2007.083333,1.302476903
2007.166667,0.281690296
2007.25,-0.027866631
2007.333333,-0.624282518
2007.416667,-0.19442023
2007.5,-0.083567877
2007.583333,1.503232595
2007.666667,2.281138372
2007.75,0.913665641
2007.833333,-0.443059607
2007.916667,-1.154376144
2008,-0.764880621
2008.083333,-0.039269413
2008.166667,0.37812315
2008.25,-0.373038054
2008.333333,-1.107750278
2008.416667,-1.766326562
2008.5,-2.236135844
2008.583333,-0.445020773
2008.666667,1.625154502
2008.75,1.643137698
2008.833333,0.9003318
2008.916667,-0.175764212
2009,-0.735093846
2009.083333,-0.946320965
2009.166667,-0.585756748
2009.25,-1.57611838
2009.333333,-1.093036742
2009.416667,-0.585024288
2009.5,0.391393983
2009.583333,0.583508829
2009.666667,-0.512010241
2009.75,1.197780562
2009.833333,0.514963619
2009.916667,0.80248393
2010,0.435794976
2010.083333,0.733607773
2010.166667,0.918374085
2010.25,0.296144266
2010.333333,0.869669799
2010.416667,0.481949057
2010.5,1.236919819
2010.583333,-0.258291768
2010.666667,-0.589621123
2010.75,-0.530315566
2010.833333,-0.840493904
2010.916667,-0.727618452
2011,-0.826296482
2011.083333,-0.348848752
2011.166667,0.155514166
2011.25,-0.789891157
2011.333333,-1.065234728
2011.416667,-1.284232891
2011.5,0.077769163
2011.583333,1.270657635
2011.666667,0.642203768
2011.75,0.491394328
2011.833333,-0.383170835
2011.916667,0.287210696
2012,-0.05558614
2012.083333,0.174911032
2012.166667,-2.222357319
2012.25,0.532684845
2012.333333,1.006196187
2012.416667,1.576382228
2012.5,0.939638397
2012.583333,0.422801246
2012.666667,-0.115866325
2012.75,0.001413093
2012.833333,0.140260107
2012.916667,0.667931478
2013,0.912694428
2013.083333,0.66503943
2013.166667,0.643177538
2013.25,1.644286539
2013.333333,1.394070426
2013.416667,1.202073822
2013.5,-0.85877697
2013.583333,0.242231007
2013.666667,0.351355192
2013.75,-0.745841262
2013.833333,-1.133678096
2013.916667,-0.06099304
2014,0.239198785
2014.083333,0.805145778
2014.166667,0.609562583
2014.25,-0.098583131
2014.333333,-0.889543295
2014.416667,-1.219339523
2014.5,-0.50703623
2014.583333,1.225517606
2014.666667,0.653378187
2014.75,0.714286008
2014.833333,-0.275988084
2014.916667,-0.212929993
2015,-0.391449411
2015.083333,-0.165154902
2015.166667,-0.664948682
2015.25,-0.264130222
2015.333333,0.712531921
2015.416667,1.165503408
2015.5,1.69148612
2015.583333,0.800258668
2015.666667,0.0451359
2015.75,0.710875877
2015.833333,1.705062334
2015.916667,1.54314683
2016,1.503040625
2016.083333,0.948571516
2016.166667,0.34451705
2016.25,-0.074520291
2016.333333,-0.060437612
2016.416667,0.36141503
2016.5,0.434490561
2016.583333,-0.217734329
2016.666667,-1.871735215
2016.75,-1.787777008
2016.833333,-0.79625792
2016.916667,-1.06939498
2017,-0.755207715
2017.083333,-1.096192625
2017.166667,-0.795472734
2017.25,-1.207697804
2017.333333,-1.125303788
2017.416667,-0.986266583
2017.5,-0.519880182
2017.583333,-0.301044208
2017.666667,0.47957731
2017.75,0.800067883
2017.833333,0.186196804
2017.916667,-0.355517015
2018,-0.487127912
2018.083333,-0.371251843
2018.166667,1.148193002
2018.25,1.610700833
2018.333333,1.89020883
2018.416667,1.448993103
2018.5,1.272684431
2018.583333,0.609238206
2018.666667,-0.620718528
2018.75,-0.476218488
2018.833333,-0.866691172
2018.916667,-0.168923097
2019,-0.325691484
2019.083333,-0.282003151
2019.166667,-1.260533928
2019.25,-0.541927022
2019.333333,-0.589664902
2019.416667,-0.443995316
2019.5,-1.366124288
2019.583333,-2.391955193
2019.666667,-1.190022012
2019.75,1.371632361
2019.833333,1.697163587
2019.916667,2.441381789
2020,2.537026353
2020.083333,2.452526207
2020.166667,1.952462356
2020.25,1.866398763
2020.333333,1.651580466
2020.416667,1.465887549
2020.5,0.764622471
2020.583333,0.687774684
2020.666667,0.470349732
2020.75,-0.068837121
2020.833333,0.324407615
2020.916667,-0.10599253
2021,0.295932068
2021.083333,0.83849402
2021.166667,0.847431356
2021.25,0.502832251
2021.333333,0.326259516
2021.416667,0.568566919
2021.5,1.068244305
2021.583333,-0.828585273
2021.666667,0.452826043
2021.75,1.419542141
2021.833333,0.444004157
2021.916667,0.014209075
2022,-0.444161606
2022.083333,0.880152922
2022.166667,0.900800674
2022.25,0.999255867
2022.333333,0.510247842
2022.416667,0.684586104
2022.5,0.627107311
2022.583333,-0.544216169
2022.666667,-0.168970523
2022.75,-0.911440579
2022.833333,0.569035578
2022.916667,0.509965851
2023,0.547008035
2023.083333,-0.448252654
2023.166667,0.373269151
2023.25,0.468867794
2023.333333,0.392667759
2023.416667,-0.394443542
2023.5,-0.928533542
2023.583333,-1.538660808
2023.666667,1.29966341
2023.75,0.892506048
2023.833333,2.002525471
2023.916667,1.42042959
