year,tempmin
198101,29
198102,29.9
198103,28.6
198104,26
198105,24.6
198106,24.3
198107,22.6
198108,25
198109,26.3
198110,27.5
198111,27.6
198112,28
198201,29.7
198202,30.7
198203,30.7
198204,26.6
198205,24.6
198206,24.9
198207,24.3
198208,24.1
198209,25.9
198210,25.8
198211,26.5
198212,26.9
198301,28.6
198302,28.5
198303,29.6
198304,27.8
198305,25.6
198306,25
198307,24.5
198308,26.4
198309,26.9
198310,27
198311,28.6
198312,27.4
198401,28.2
198402,29.4
198403,29.1
198404,28.1
198405,26.9
198406,25.4
198407,24
198408,24.6
198409,27.8
198410,25.6
198411,25.6
198412,26.6
198501,28.7
198502,27.5
198503,27.4
198504,25.5
198505,23.6
198506,23.5
198507,23.8
198508,23.5
198509,26.3
198510,27.3
198511,26.7
198512,27.7
198601,28.5
198602,30.6
198603,28.8
198604,26.2
198605,24.2
198606,23.4
198607,24.2
198608,26.1
198609,26.5
198610,28.3
198611,26.2
198612,26.7
198701,27.4
198702,28.8
198703,29.7
198704,27.2
198705,25.4
198706,24.6
198707,24.7
198708,24.6
198709,27.9
198710,29.2
198711,27.6
198712,29.1
198801,29.3
198802,29.9
198803,29.1
198804,26.3
198805,25.3
198806,24.3
198807,24
198808,24.3
198809,25.7
198810,27.8
198811,26.6
198812,26.9
198901,27.1
198902,27.4
198903,28.7
198904,25.6
198905,25.1
198906,23.7
198907,23
198908,23.4
198909,26.1
198910,26.5
198911,26.1
198912,27.2
199001,27.3
199002,28.5
199003,26.6
199004,26.1
199005,25.7
199006,25
199007,24.6
199008,23.9
199009,26.9
199010,27.4
199011,26.4
199012,27.2
199101,28.9
199102,30
199103,29.6
199104,26.9
199105,25.2
199106,25.6
199107,23.6
199108,25.1
199109,27.4
199110,28
199111,26.9
199112,27.3
199201,28.4
199202,30
199203,30.1
199204,27.2
199205,25.8
199206,24.6
199207,23.6
199208,23.3
199209,25.7
199210,27.2
199211,26.2
199212,26.8
199301,25.6
199302,26
199303,27.4
199304,27.5
199305,26.8
199306,24.3
199307,23.8
199308,24.8
199309,26.9
199310,27.8
199311,27
199312,27.2
199401,28.6
199402,28.3
199403,27.6
199404,25.9
199405,24.2
199406,24.2
199407,23.2
199408,23.4
199409,25.9
199410,26.9
199411,25.6
199412,26.6
199501,28.5
199502,28.7
199503,26.2
199504,25.8
199505,24.7
199506,25.2
199507,23.2
199508,24.2
199509,26.1
199510,26.5
199511,26.2
199512,26.3
199601,27.6
199602,28.3
199603,27.6
199604,26.2
199605,24.6
199606,22.7
199607,22.6
199608,24.5
